rank, word, likelyhood 
352, GLASS, 3.6875244000000003e-06
353, PHONE, 3.68385927e-06
354, COLIN, 3.6815026500000003e-06
355, FANCY, 3.671744832000001e-06
356, MOTEL, 3.639936299999999e-06
357, WROTE, 3.6349586e-06
358, PENNY, 3.6289496880000008e-06
359, LOOPS, 3.5939539999999994e-06
360, BOOTH, 3.5932205399999997e-06
361, JAMES, 3.5445482800000003e-06
362, SALEM, 3.5126345800000005e-06
363, SHOPS, 3.5110166e-06
364, BELLY, 3.5096770800000008e-06
365, LIKES, 3.5058441599999996e-06
366, CROPS, 3.5034363e-06
367, LINKS, 3.4673183999999997e-06
368, PRIDE, 3.4633655999999995e-06
369, FIRMS, 3.4613649e-06
370, TOOTH, 3.4550197499999994e-06
371, WALKS, 3.43686e-06
372, PASTE, 3.4299336750000003e-06
373, JANET, 3.428807928000001e-06
374, THERE, 3.4265384999999996e-06
375, TRIPS, 3.42216e-06
376, DAISY, 3.4193370239999997e-06
377, LISTS, 3.4191611999999997e-06
378, CANAL, 3.3974413200000002e-06
379, CHOSE, 3.37952979e-06
380, GRACE, 3.3206902400000004e-06
381, SPARE, 3.3155839199999998e-06
382, HIRED, 3.31478784e-06
383, PRINT, 3.3126229439999996e-06
384, STONE, 3.3096358750000003e-06
385, ROUTE, 3.293576399999999e-06
386, CANON, 3.2849507880000005e-06
387, CHART, 3.246903792e-06
388, PHASE, 3.24060732e-06
389, BILLY, 3.2397019200000003e-06
390, TASKS, 3.22205625e-06
391, BLAIR, 3.22067928e-06
392, GENRE, 3.1978346400000004e-06
393, CREEK, 3.193131942000001e-06
394, CORAL, 3.1908532500000003e-06
395, MENUS, 3.1783752e-06
396, CAMEL, 3.170945232e-06
397, COURT, 3.14216496e-06
398, FRONT, 3.140090499e-06
399, THOSE, 3.1291942499999993e-06
400, FUNDS, 3.1144743000000004e-06
401, ALICE, 3.1102848e-06
402, FACED, 3.1045647360000003e-06
403, PLANT, 3.08779716e-06
404, SOUTH, 3.08597808e-06
405, SPINE, 3.0725059199999997e-06
406, MERIT, 3.0679827750000004e-06
407, PERRY, 3.0678733800000007e-06
408, FERRY, 3.0678733800000007e-06
409, BLOGS, 3.0432675000000004e-06
410, LEAST, 3.039542064e-06
411, FLAGS, 3.030405e-06
412, MOUSE, 3.026033999999999e-06
413, HORSE, 3.020302875e-06
414, SHALL, 3.009190832e-06
415, ALLEN, 2.9991234000000004e-06
416, SOLVE, 2.99704125e-06
417, BROKE, 2.9950010999999995e-06
418, WHALE, 2.9875568e-06
419, FAITH, 2.9845491840000005e-06
420, TIGER, 2.9631419999999995e-06
421, CHAIR, 2.962317096e-06
422, MERRY, 2.960228700000001e-06
423, CRIME, 2.9529748800000003e-06
424, SPECS, 2.95169336e-06
425, BRUCE, 2.9489241599999994e-06
426, TRAIL, 2.9462585999999994e-06
427, BLAKE, 2.945124e-06
428, LEARN, 2.937695904e-06
429, BOUND, 2.9340979200000005e-06
430, MINUS, 2.9338848000000003e-06
431, HOSTS, 2.9254041250000004e-06
432, BEACH, 2.915063424e-06
433, LOGOS, 2.902809e-06
434, COLOR, 2.885264550000001e-06
435, TREAT, 2.876498625e-06
436, BROAD, 2.86418496e-06
437, WORRY, 2.852124e-06
438, FILMS, 2.8505358000000003e-06
439, GIANT, 2.8417020480000005e-06
440, TREND, 2.8322448e-06
441, SHAPE, 2.8314904e-06
442, FATTY, 2.826400518e-06
443, SPACE, 2.81322272e-06
444, TEACH, 2.8029456e-06
445, LADEN, 2.79746376e-06
446, BRIAN, 2.7854985599999997e-06
447, SHOOT, 2.7737031140000003e-06
448, TIMER, 2.7655991999999995e-06
449, STORE, 2.7650122500000004e-06
450, RALLY, 2.7616689800000007e-06
451, SERVE, 2.747057625e-06
452, FIXES, 2.7449604e-06
453, BLAST, 2.7277941600000004e-06
454, GREEN, 2.726872148e-06
455, HELEN, 2.7262708200000005e-06
456, DIRTY, 2.7257439600000002e-06
457, FORGE, 2.7222843750000004e-06
458, CINDY, 2.71153008e-06
459, BETTY, 2.709710172e-06
460, GRAMS, 2.7052174800000003e-06
461, POLAR, 2.693349750000001e-06
462, HAIRY, 2.6897207040000004e-06
463, FRAME, 2.68410834e-06
464, MOVED, 2.6810784e-06
465, DEREK, 2.67697521e-06
466, LARGE, 2.6757575000000003e-06
467, GRADE, 2.6684117999999998e-06
468, CLIPS, 2.6671680000000004e-06
469, LOVER, 2.65365828e-06
470, BLAME, 2.6506116e-06
471, BLIND, 2.6501529600000005e-06
